"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2007",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2008",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2009",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2010",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2011",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2012",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2013",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2014",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2015",20,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2016",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2017",20,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2018",20,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2019",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2020",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2021",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2022",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2023",22,
